"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13105","東京都","文京区","小石川","春日(東京)",15,140000000,"",65,"","","",110,"2013年","木造","","","北西","私道",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13105","東京都","文京区","小石川","春日(東京)",10,130000000,"",65,"","","",100,"2010年","木造","","","北","公道",7,"準工業",60,300,"2024年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","春日(東京)",5,150000000,3900000,130,1200000,"ほぼ整形","","","","","","事務所","北東","私道",4.5,"準工業",60,300,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13105","東京都","文京区","小石川","春日(東京)",5,230000000,"",85,"","長方形",7.3,290,"1973年","ＲＣ、鉄骨造、木造","事務所","その他","北","区道",8.5,"商業",80,600,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","春日(東京)",7,64000000,"",50,"","ほぼ長方形",4.8,40,"1966年","木造","住宅、作業場","","西","区道",6.7,"準工業",60,300,"2024年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","春日(東京)",5,110000000,"",130,"","ほぼ正方形","",185,"1988年","鉄骨造","共同住宅","住宅","東","私道",4.5,"準工業",60,300,"2024年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","春日(東京)",7,98000000,"",50,"","ほぼ長方形",4.8,40,"1966年","木造","住宅、作業場","住宅","西","区道",6.7,"準工業",60,300,"2024年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","春日(東京)",12,210000000,"",160,"","ほぼ台形",13.4,350,"1993年","鉄骨造","共同住宅、工場、事務所、倉庫","住宅","北西","区道",6,"準工業",60,300,"2024年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","春日(東京)",12,280000000,"",185,"","ほぼ台形",13.4,350,"1993年","鉄骨造","共同住宅、工場、事務所、倉庫","住宅","南西","区道",6,"準工業",60,300,"2024年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","春日(東京)",7,200000000,"",250,"","ほぼ台形",16,680,"1989年","ＲＣ","共同住宅","その他","南西","区道",4.4,"準工業",60,300,"2024年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","後楽園",2,69000000,"",60,"","ほぼ長方形",5.4,90,"1971年","木造","住宅、作業場","住宅","北東","区道",4.4,"準工業",60,300,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","後楽園",2,85000000,"",60,"","ほぼ長方形",5.4,90,"1971年","木造","住宅、作業場","住宅","北東","区道",4.4,"準工業",60,300,"2024年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","茗荷谷",3,330000000,8800000,125,2700000,"ほぼ長方形",7.5,"","","","","その他","北東","区道",6,"２種住居",60,400,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","茗荷谷",7,62000000,"",45,"","ほぼ整形",3,45,"1960年","木造","住宅、作業場","住宅","南東","区道",11.9,"準工業",60,400,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13105","東京都","文京区","小石川","茗荷谷",5,120000000,"",70,"","ほぼ長方形",5.5,45,"1970年","木造","住宅","住宅","南東","区道",11.9,"２中住専",60,300,"2024年第3四半期",""
